노선명,구간기점,구간종점,총연장(km),자전거도로폭(m),겸용도로폭(m)-분리형(자전거),겸용도로폭(m)-분리형(보도),겸용도로폭(m)-비분리형,자전거도로종류,데이터기준일자
행원로R,월정리82-1,한동리1543-2,3.4,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
행원로L,월정리82-1,한동리1543-2,3.4,1.5,,,1.5,자전거보행자 겸용도로,2026-03-12
애월해안로R,하귀2리1839-1,애월리2043-2,9.7,1.5,,,,자전거보행자 겸용도로,2026-03-12
한림해안로R,귀덕리3025-5,옹포리354-1,7.6,1.5,,,,자전거보행자 겸용도로,2026-03-12
한경해안로R,신창리609,고산리2605,6.6,1.5,,,,자전거보행자 겸용도로,2026-03-12
용고로R,고산리2605,고산리2681-1,0.6,1.5,,,,자전거보행자 겸용도로,2026-03-12
노을해안로R,고산리2681-1,3991,4.9,1.5,,,,자전거보행자 겸용도로,2026-03-12
노을해안로L,고산리2681-1,고산리3595-5,1.1,1.5,,,,자전거보행자 겸용도로,2026-03-12
김녕로22길R,김녕리1191-3,김녕리563-2,0.7,1.5,,,,자전거보행자 겸용도로,2026-03-12
조함해안로R,함덕리260-15,함덕리3113,2.2,1.5,,,,자전거보행자 겸용도로,2026-03-12
조함해안로R,함덕리3113-5,조천리3037-3,3.7,1.5,,,,자전거보행자 겸용도로,2026-03-12
조천18길R,조천리1197-1,조천리694-1,0.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
어영길R,용담삼동1071,용담삼동2400-9,1.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
월대5길R,외도2동279-2,외도2동334-5,0.4,1.5,,,,자전거보행자 겸용도로,2026-03-12
조천우회로R,신촌리3097-14,동북리744-4,11.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
조천우회로L,신촌리3097-14,동북리744-4,11.5,1.5,,,,자전거보행자 겸용도로,2026-03-12
금월길R,아라2동1397-16,아라2동 945-1,1.2,2,,,,자전거보행자 겸용도로,2026-03-12
금월길L,아라2동1397-16,아라2동 945-1,1.2,2,,,,자전거보행자 겸용도로,2026-03-12
탑동해안로R,삼도이동1262,삼도이동1166-4,1.1,3,,,,자전거보행자 겸용도로,2026-03-12
두신로R,신창리705-1,신창리626-4,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
신북로R,북촌리1645-9,북촌리2109-9,0.6,2,,,,자전거보행자 겸용도로,2026-03-12
우광로L,광령리1702,외도1동1409-4,1.54,1.5,,,,자전거 전용차로,2026-03-12
우광로R,광령리1702,외도1동1409-4,1.54,1.5,,,,자전거 전용차로,2026-03-12
원당북로R1,신촌리2594-1,신촌리2526-4,0.3,2,,,,자전거 전용차로,2026-03-12
원당북로R2,신촌리2526-4,신촌리3473-1,0.7,1.5,,,,자전거보행자 겸용도로,2026-03-12
원당북로R3,신촌리3473-1,삼양일동1019,1.3,2,,,,자전거 전용차로,2026-03-12
원당북로L,신촌리2594-1,삼양일동1019,2.3,2.5,,,,자전거보행자 겸용도로,2026-03-12
선사로8길R,삼양일동1019,삼양이동1960-2,1,2,,,,자전거보행자 겸용도로,2026-03-12
선사로8길L,삼양일동1019,삼양이동1960-2,1,2,,,,자전거보행자 겸용도로,2026-03-12
정원로R,노형동3798-1,노형동3812-2,0.52,1.5,,,,자전거 전용차로,2026-03-12
조천북6길R,조천리2977-2,조천리1205-1,0.7,2,,,,자전거보행자 겸용도로,2026-03-12
사라봉안길,건입동378-9,건입동345-3,0.65,2,,,,자전거보행자 겸용도로,2026-03-12
사라봉동길,건입동345-3,건입동831-5,0.4,,,,,자전거 우선도로,2026-03-12
화삼로L,화북이동116,삼양이동2333,1.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
화삼로R,화북이동116,삼양이동2333,1.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
삼봉로2길L,삼양이동2146-3,삼양이동2181-45,0.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
삼봉로2길R,삼양이동2146-3,삼양이동2181-45,0.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
건주로R,삼양이동2146-3,도련일동1938-2,0.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
건주로L,도련일동1992-3,도련일동1938-2,0.8,1.5,,,,자전거보행자 겸용도로,2026-03-12
화삼북로2길R,화북일동 1004-3,화북일동1012-2,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
화삼북로2길L,화북일동 1004-3,화북일동1012-2,0.3,1.5,,,,자전거보행자 겸용도로,2026-03-12
중앙로L,삼도이동1262,아라일동424-3,7.7,2,,,,자전거보행자 겸용도로,2026-03-12
중앙로R,삼도이동1262,아라일동424-3,7.7,2,,,,자전거보행자 겸용도로,2026-03-12
월계로R,옹포리198,명월리2089-5,1.1,2,,,,자전거보행자 겸용도로,2026-03-12
월계로L,옹포리198,명월리2089-5,1.1,2,,,,자전거보행자 겸용도로,2026-03-12
선흘길R,삼양일동1622-3,삼양일동1569-77,0.15,,,,,자전거 우선도로,2026-03-12
동광로2길,이도이동 1176-53,이도이동 1176-23,0.14,2,,,,자전거 전용차로,2026-03-12
