행정읍/면/동,법정읍/면/동,관리기관,설치일자,자전거노선명,자전거도로구분,위치구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류,도로노선명
신창면,신창면 남성리,도시계획과,19000101,대로2-3,자전거전용도로,좌,투수콘,104.84,1.6,0,0,0,도색,
온양4동,방축동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,48.11,1.49,0,0,0,경계석,
온양4동,방축동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,14.6,1.37,0,0,0,경계석,
온양4동,방축동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,331.5,1.45,0,0,0,경계석,
온양4동,방축동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,우,투수콘,117.9,1.41,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,6.77,2,0,0,0,경계석,
온양5동,용화동,도시계획과,19000101,중로1-19,자전거보행자겸용도로,우,투수콘,6.65,2.02,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,75.07,2.07,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,우,투수콘,346.23,1.97,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,32.6,2,0,0,0,경계석,
인주면,인주면 걸매리,도시계획과,19000101,대로3-1,자전거보행자겸용도로,좌,투수콘,223.13,2.03,0,0,0,경계석,
탕정면,탕정면 갈산리,도시계획과,20090101,중(집)2-2,자전거자동차겸용도로,중앙,아스팔트,5.82,2.08,0,0,0,도색,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,182.24,1.59,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,중로1-2,자전거보행자겸용도로,좌,투수콘,6.56,2.34,0,0,0,경계석,
온양3동,권곡동,도시계획과,19000101,대로1-1,자전거보행자겸용도로,좌,투수콘,3.58,1.57,0,0,0,경계석,
신창면,신창면 행목리,도시계획과,19000101,국도21,자전거전용도로,우,투수콘,29.11,1.65,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,370.42,2.01,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,229.23,1.63,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,229.23,2.08,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,228.25,2.06,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,130.45,2.07,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,62.74,1.64,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,391.85,1.54,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,77.94,1.55,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,79.8,1.49,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,179.02,1.98,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,85.15,1.55,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,62.73,1.7,0,0,0,경계석,
4420025331,배방읍 장재리,도시계획과,20110101,대로3-4,자전거전용도로,좌,투수콘,568.95,2.16,0,0,0,경계석,
