공간지리식별번호,지형지물부호,관리번호,행정동읍면코드,도엽번호,관리기관코드,도로구간 번호,자전거 도로명,연장,폭원,국비재원,시군비 재원,기타재원,경계 정류,공사번호,대장초기화여부,설치일자,자전거도로 구분,위치구분,자전거도로 재질,위도,경도
453,AE543,2214,4143010700,376121526A,MNG001,100060,,15.4,2.33,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197811.6253,532056.6843
454,AE543,135,4143010900,376121517B,MNG001,39,,110.5800018,2.0999999,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,198536.9554,532599.7658
455,AE543,2227,4143010700,376121536A,MNG001,100065,,297.74,2.1,0,0,0,DWY001,,1,2012-01-01,CGB002,DRT001,SMW008,197851.5165,531613.4705
456,AE543,143,4143010700,376121536A,MNG001,234,,173.9199982,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197955.609,531464.9186
403,AE543,63,4143010700,376121545D,MNG001,362,,316.8999939,1.60000002,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,197669.0817,530807.1462
404,AE543,134,4143010700,376121545D,MNG001,369,,100.0899963,1.60000002,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,197700.3793,530873.8672
405,AE543,62,4143010700,376121546A,MNG001,360,,124.0299988,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW999,197850.6443,530955.8879
406,AE543,133,4143010700,376121545B,MNG001,366,,233.5299988,1.60000002,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,197697.5112,530938.8064
407,AE543,52,4143010700,376121545B,MNG001,230,,83.12999725,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197598.6735,531007.8008
408,AE543,65,4143010700,376121545B,MNG001,368,,24.02000046,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW999,197770.1117,531047.3613
409,AE543,99,4143010700,376121546A,MNG001,360,,56.95000076,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW999,197869.8898,531063.6725
410,AE543,61,4143010700,376121545B,MNG001,214,,199.5299988,1.5,0,0,0,DWY001,,1,,CGB002,DRT002,SMW999,197769.5878,531103.1178
411,AE543,59,4143010700,376121545B,MNG001,214,,180.4400024,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,197797.0215,531155.9796
412,AE543,101,4143010700,376121546A,MNG001,220,,26.07999992,1.5,0,0,0,DWY001,,1,,CGB002,DRT001,SMW999,197885.9189,531165.7782
413,AE543,106,4143010900,376121529D,MNG001,0,,414.5799866,1.70000005,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,199443.2607,531885.3333
417,AE543,40,4143010800,377090691D,MNG001,27,,31.03000069,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200425.1015,533413.469
418,AE543,39,4143010800,377090692C,MNG001,27,,10.88000011,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200451.9337,533452.8885
419,AE543,38,4143010800,377090692C,MNG001,27,,48.59000015,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200477.6942,533478.0646
420,AE543,44,4143010800,377091101B,MNG001,27,,328.7900085,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200419.131,533373.8191
421,AE543,37,4143010800,377090692C,MNG001,27,,21.65999985,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200506.8738,533506.6323
422,AE543,36,4143010800,377090692C,MNG001,28,,108.4700012,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200569.6237,533544.7562
423,AE543,45,4143010800,377090692C,MNG001,28,,137.4900055,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200587.2018,533541.1252
424,AE543,35,4143010800,377090692C,MNG001,28,,37.91999817,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200638.8013,533583.353
425,AE543,46,4143010800,377090692D,MNG001,28,,51.47999954,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT002,SMW006,200673.1362,533600.9572
426,AE543,34,4143010800,377090692D,MNG001,28,,63.36000061,1.04999995,0,0,0,DWY001,,1,,CGB002,DRT001,SMW006,200678.4822,533622.707
