노선명,시도명,시군구명,도로구간-기점,도로구간-종점,총길이(km),자전거도로너비(m),데이터기준일자
국채보상로,대구광역시,수성구,대구광역시 수성구 범어동 1051,대구광역시 수성구 만촌동 977-25,4.85,4,2025-11-27
화랑로,대구광역시,수성구,대구광역시 수성구 만촌동 416-8,대구광역시 수성구 만촌동 2-3,3.1,2.7,2025-11-27
수성로,대구광역시,수성구,대구광역시 수성구 상동 660-2,대구광역시 수성구 수성동2가 118,7.6,4.81,2025-11-27
청호로,대구광역시,수성구,대구광역시 수성구 황금동 368,대구광역시 수성구 만촌동 1039-19,4.4,5,2025-11-27
동원로,대구광역시,수성구,대구광역시 수성구 만촌동 1317-2,대구광역시 수성구 만촌동 1325-38,2.8,3,2025-11-27
파동로,대구광역시,수성구,대구광역시 수성구 파동 581-16,대구광역시 수성구 파동 645,5,2.9,2025-11-27
범안로,대구광역시,수성구,대구광역시 수성구 범물동 1355,대구광역시 수성구 범물동 184,2.4,5,2025-11-27
무열로,대구광역시,수성구,대구광역시 수성구 만촌동 1037-9,대구광역시 수성구 만촌동 615-2,4.16,3.5,2025-11-27
들안로,대구광역시,수성구,대구광역시 수성구 두산동 173-3,대구광역시 수성구 범어동 1109,8.2,3.84,2025-11-27
무학로,대구광역시,수성구,대구광역시 수성구 상동 555-3,대구광역시 수성구 지산동 720,2.88,1.83,2025-11-27
무학로,대구광역시,수성구,대구광역시 수성구 두산동 321-9,대구광역시 수성구 지산동 1234-1,3.4,4,2025-11-27
청수로,대구광역시,수성구,대구광역시 수성구 황금동 38-1,대구광역시 수성구 만촌동 774-10,5.88,1.6,2025-11-27
월드컵로,대구광역시,수성구,대구광역시 수성구 삼덕동 820-2,대구광역시 수성구 시지동 206-21,5.14,1.6,2025-11-27
야구전설로,대구광역시,수성구,대구광역시 수성구 대흥동 860,대구광역시 수성구 연호동 190-12,1.8,3.8,2025-11-27
청호로,대구광역시,수성구,대구광역시 수성구 범물동 1288-2,대구광역시 수성구 황금동 227-4,5.2,2,2025-11-27
수성못길,대구광역시,수성구,대구광역시 수성구 두산동 839-1,대구광역시 수성구 두산동 595-6,1,3.6,2025-11-27
유니버시아드로,대구광역시,수성구,대구광역시 수성구 연호동 산 81,대구광역시 수성구 욱수동 48-4,7.3,4.07,2025-11-27
경안로,대구광역시,수성구,대구광역시 수성구 성동 97-11,대구광역시 수성구 성동 30-14,3,3.04,2025-11-27
용학로,대구광역시,수성구,대구광역시 수성구 두산동 839-1,대구광역시 수성구 지산동 산 43-2,5.4,2.63,2025-11-27
지범로,대구광역시,수성구,대구광역시 수성구 범물동 1321,대구광역시 수성구 범물동 264-2,1.1,4,2025-11-27
고산로,대구광역시,수성구,대구광역시 수성구 신매동 598-1,대구광역시 수성구 매호동 864-13,3.4,3.8,2025-11-27
삼덕동 360-3,대구광역시,수성구,대구광역시 수성구 삼덕동 409-2,대구광역시 수성구 삼덕동 360-3,1,1.5,2025-11-27
대구선북편도로,대구광역시,수성구,대구광역시 수성구 성동 126-9,대구광역시 수성구 성동 81-4,0.8,2,2025-11-27
미술관로,대구광역시,수성구,대구광역시 수성구 대흥동 441-1,대구광역시 수성구 대흥동 504,1.2,2.5,2025-11-27
알파시티1로,대구광역시,수성구,대구광역시 수성구 대흥동 873-3,대구광역시 수성구 시지동 222-5,5,1.3,2025-11-27
알파시티3로,대구광역시,수성구,대구광역시 수성구 대흥동 903,대구광역시 수성구 대흥동 908,0.9,1.3,2025-11-27
알파시티1로 40길,대구광역시,수성구,대구광역시 수성구 대흥동 864,대구광역시 수성구 대흥동 864,0.44,1.2,2025-11-27
알파시티1로 4길,대구광역시,수성구,대구광역시 수성구 대흥동 877,대구광역시 수성구 대흥동 872,0.53,1.2,2025-11-27
알파시티2로,대구광역시,수성구,대구광역시 수성구 대흥동 248-1,대구광역시 수성구 시지동 578-4,0.5,1.2,2025-11-27
월곡로,대구광역시,달서구,대구광역시 달서구 상인동 1332-291,대구광역시 달서구 월성동 209-3,7,1.5,2025-11-27
한실로,대구광역시,달서구,대구광역시 달서구 도원동 1462,대구광역시 달서구 도원동 1445-3,3.2,1.6,2025-11-27
도원남로,대구광역시,달서구,대구광역시 달서구 도원동 1429-5,대구광역시 달서구 도원동 1438-4,3.36,3.8,2025-11-27
와룡로,대구광역시,달서구,대구광역시 달서구 본동 1141-1,대구광역시 달서구 죽전동 170-2,5.6,5,2025-11-27
용산로,대구광역시,달서구,대구광역시 달서구 본리동 679-3,대구광역시 달서구 용산동 930-3,4.7,4,2025-11-27
월배로,대구광역시,달서구,대구광역시 달서구 대곡동 946,대구광역시 달서구 송현동 1043-3,10.5,5,2025-11-27
장기로,대구광역시,달서구,대구광역시 달서구 장기동 636-2,대구광역시 달서구 성당동 208-12,7,4.8,2025-11-27
상화로,대구광역시,달서구,대구광역시 달서구 진천동 790-2,대구광역시 달서구 상인동 1594-1,8,2.6,2025-11-27
성당로,대구광역시,달서구,대구광역시 달서구 두류동 776-1,대구광역시 달서구 성당동 260-4,3,2.2,2025-11-27
구마로,대구광역시,달서구,대구광역시 달서구 본리동 570-3,대구광역시 달서구 성당동 260-4,5.4,5,2025-11-27
달구벌대로,대구광역시,달서구,대구광역시 달서구 파호동 42,대구광역시 달서구 두류동 1106-19,16.5,5.5,2025-11-27
명덕로,대구광역시,달서구,대구광역시 달서구 두류동 1227-1,대구광역시 달서구 두류동 776-1,0.7,5,2025-11-27
