행정읍면동,설치일자,자전거노선명,자전거도로구분,자전거도로재질,연장,폭원,국비,시비,기타비,경계종류
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,62.14,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,63,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,63.86,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,3.27,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,3.25,2,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,61.46,2,0,0,0,경계석
용현면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.58,2.92,0,0,0,경계석
사남면,1960-01-01,소로3-1,자전거보행자겸용도로,고압블럭,18.65,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,1.37,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-2,자전거보행자겸용도로,고압블럭,52.46,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-2,자전거보행자겸용도로,고압블럭,1.25,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-2,자전거보행자겸용도로,고압블럭,81.12,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-2,자전거보행자겸용도로,고압블럭,1.06,1.5,0,0,0,경계석
사남면,1960-01-01,소로3-1,자전거보행자겸용도로,고압블럭,20.83,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-1,자전거보행자겸용도로,고압블럭,1.33,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,51.23,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,1.07,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,81.15,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,94.94,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,16.82,1.5,0,0,0,경계석
사남면,1960-01-01,,자전거보행자겸용도로,고압블럭,32.72,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,93.07,1.45,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,81.09,1.45,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,1.19,1.45,0,0,0,경계석
사남면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,36.42,1.44,0,0,0,경계석
용현면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,96.13,1.43,0,0,0,경계석
용현면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,23.69,1.4,0,0,0,경계석
용현면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,81.03,1.45,0,0,0,경계석
용현면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,81.45,1.44,0,0,0,경계석
용현면,1960-01-01,중로1-3,자전거보행자겸용도로,고압블럭,61.33,1.5,0,0,0,경계석
용현면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,2.08,2.25,0,0,0,경계석
용현면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,44.9,1.5,0,0,0,경계석
용현면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,2.95,1.5,0,0,0,경계석
사남면,1960-01-01,중로1-4,자전거보행자겸용도로,고압블럭,3.93,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,30.27,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,86.12,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,82,1.4,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.09,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,21.01,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.08,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,82.27,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,40.01,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.01,3,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,36.39,3,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,11.27,3,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,34.74,3,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.67,2.3,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,81.64,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,67.62,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,34.24,1.5,0,0,0,경계석
사남면,1960-01-01,대로3-2,자전거보행자겸용도로,고압블럭,1.97,1.5,0,0,0,경계석
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,19.1,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,3.2,2.4,0,0,0,도색
벌용동,1960-01-01,,자전거보행자겸용도로,고압블럭,5.85,2.4,0,0,0,도색
사천읍,2011-01-01,,자전거전용도로,기타,218,2,0,0,0,경계석
