일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도,도로연계성,자전거도로 종류,연장,전용도로 폭원,자전거도로 폭원(분리형),보도 폭원(분리형),유효폭원측정1(비분리형),도로폭원(비분리형),유효폭원측정2(비분리형),보행량 (점),데이터기준일자
169,콩쥐팥쥐로R,만성동 771,127.0581333,35.8252308,상림동 67-19,127.0743319,35.8249972,효자동3가1066,127.0854823,35.821071,Y,겸용도로,1.55,0,0,0,0,3,3,3,2026-05-14
170,콩쥐팥쥐로2L,만성동 771,,,중동 511-3,,,중동 831-45,,,,겸용도로,1.4,0,2,2.5,4.5,0,0,,2026-05-14
171,콩쥐팥쥐로2R,만성동 771,,,중동 511-3,,,중동 831-45,,,,겸용도로,1.4,0,2,2.5,4.5,0,0,,2026-05-14
172,태진로L,태평동94-30,127.1376726,35.8212993,진북동 890-37,127.1366746,35.8275782,금암동457-1,127.1350921,35.8342151,Y,겸용도로,1.5,0,0,0,0,2.6,2.6,3,2026-05-14
173,태진로R,태평동94-30,127.1376726,35.8212993,진북동 890-37,127.1366746,35.8275782,금암동457-1,127.1350921,35.8342151,Y,겸용도로,1.5,0,0,0,0,3.1,3.1,3,2026-05-14
174,틀못2길L,장동 1080(양현고 옆 사거리),,,장동 162-3,,,장동 1103(호반 212동 앞 사거리),,,,겸용도로,0.5,0,0,0,0,2,2,,2026-05-14
175,틀못2길R,장동 1080(양현고 옆 사거리),,,장동 162-3,,,장동 1103(호반 212동 앞 사거리),,,,겸용도로,0.5,0,1.5,2.5,4,0,0,,2026-05-14
176,틀못4길L,장동 1077(온빛중학교 옆 사거리),,,장동 산 182-1,,,장동 1083(이노팰리스 105동 앞 사거리),,,,겸용도로,0.5,0,2,4.5,6.5,0,0,,2026-05-14
177,틀못4길R,장동 1077(온빛중학교 옆 사거리),,,장동 산 182-1,,,장동 1083(이노팰리스 105동 앞 사거리),,,,겸용도로,0.5,0,1.7,3.8,5.5,0,0,,2026-05-14
178,팔과정로L,팔복동3가403(미래페이퍼 앞),127.0848088,35.8510877,팔복동3가402,127.0869532,35.8518768,팔복동3가400-5(공단주유소),127.0887456,35.8544271,Y,겸용도로,0.7,0,1.5,1.8,3.3,2.8,2.8,2,2026-05-14
179,팔과정로R,팔복동3가403(미래페이퍼 앞),127.0848088,35.8510877,팔복동3가402,127.0869532,35.8518768,팔복동3가400-5(공단주유소),127.0887456,35.8544271,Y,겸용도로,0.7,0,1.5,1.8,3.3,2.7,2.7,2,2026-05-14
180,팔달로L,금암동454-1,127.1357876,35.8343879,경원동1가 45,127.1474145,35.8185808,서서학동288-5,127.1488192,35.8037828,Y,겸용도로,3.85,0,0,0,0,2.9,2.9,4,2026-05-14
181,팔달로R,금암동454-1,127.1357876,35.8343879,경원동1가 45,127.1474145,35.8185808,서서학동288-5,127.1488192,35.8037828,Y,겸용도로,3.85,0,0,0,0,3.2,3.2,4,2026-05-14
182,팔복로L,팔복동2가805-9(전주한지박물관),127.1017255,35.8483708,팔복로 140,127.0919024,35.8536124,팔복동2가 820,127.0821046,35.8586863,Y,겸용도로,2.3,0,0,0,0,1.8,1.8,2,2026-05-14
183,팔복로R,팔복동2가805-9(전주한지박물관),127.1017255,35.8483708,팔복로 140,127.0919024,35.8536124,팔복동2가 820,127.0821046,35.8586863,Y,겸용도로,2.3,0,0,0,0,1.9,1.9,2,2026-05-14
184,평화로L,평화동2가910-3(은강교회),127.1329694,35.7825186,평화동2가 872-9,127.135656,35.7894061,평화동1가712-1,127.1366758,35.7966716,Y,겸용도로,1.7,0,0,0,0,2,2,3,2026-05-14
185,평화로R,평화동2가910-3(은강교회),127.1329694,35.7825186,평화동2가 872-9,127.135656,35.7894061,평화동1가712-1,127.1366758,35.7966716,Y,겸용도로,1.7,0,0,0,0,2,2,3,2026-05-14
186,한배미로L,인후동1가928-6,127.1661228,35.8257875,한배미로 42,127.1697992,35.8243506,우아동1가1088-1,127.1706114,35.8273526,Y,겸용도로,0.8,0,0,0,0,2,2,3,2026-05-14
187,한배미로R,인후동1가928-6,127.1661228,35.8257875,한배미로 42,127.1697992,35.8243506,우아동1가1088-1,127.1706114,35.8273526,Y,겸용도로,0.8,0,0,0,0,1.9,1.9,3,2026-05-14
188,혁신로1L,장동603-5(장동교),127.0653102,35.8541831,장동 600-12,127.0664996,35.8550002,화개네거리,127.0668594,35.8566441,Y,겸용도로,0.7,0,2,2.5,4.5,0,0,3,2026-05-14
189,혁신로1R,장동603-5(장동교),127.0653102,35.8541831,장동 600-12,127.0664996,35.8550002,화개네거리,127.0668594,35.8566441,Y,겸용도로,0.7,0,2,2.5,4.5,0,0,3,2026-05-14
190,혁신로2L,화개네거리,127.0668594,35.8566441,여의동 1219-8,127.0715102,35.8682145,반월동222-7(동산광장),127.0759998,35.8773261,Y,겸용도로,2.45,0,0,0,0,2.2,2.2,3,2026-05-14
191,혁신로2R,화개네거리,127.0668594,35.8566441,여의동 1219-8,127.0715102,35.8682145,반월동222-7(동산광장),127.0759998,35.8773261,Y,겸용도로,2.45,0,0,0,0,2.6,2.6,3,2026-05-14
192,혁신로3L,장동 1064-1(완충녹지),,,장동 240-1,,,장동603-5(장동교),,,,겸용도로,1.6,0,2,2.5,4.5,0,0,,2026-05-14
193,혁신로3R,장동 1064-1(완충녹지),,,장동 240-1,,,장동603-5(장동교),,,,겸용도로,1.6,0,2,2.5,4.5,0,0,,2026-05-14
194,호반로L,송천동1가308-1,127.1171738,35.8539813,송천동1가 298-3,127.1197559,35.8524478,송천동1가295-3,127.119681,35.8524242,Y,겸용도로,0.35,0,0,0,0,2,2,2,2026-05-14
195,호반로R,송천동1가308-1,127.1171738,35.8539813,송천동1가 298-3,127.1197559,35.8524478,송천동1가295-3,127.119681,35.8524242,Y,겸용도로,0.35,0,0,0,0,1,1,2,2026-05-14
196,호암로L,효자동2가683-11,127.0953893,35.8071292,효자동2가 679-3,127.0992755,35.8096466,효자동2가533,127.1041767,35.8083399,Y,겸용도로,0.9,0,0,0,0,1.8,1.8,3,2026-05-14
197,호암로R,효자동2가683-11,127.0953893,35.8071292,효자동2가 679-3,127.0992755,35.8096466,효자동2가533,127.1041767,35.8083399,Y,겸용도로,0.9,0,0,0,0,2,2,3,2026-05-14
198,홍산남로L,효자동2가1241-1,127.1022596,35.8153593,효자동2가 1155-7,127.1087459,35.8155882,효자동3가1542-1,127.1114148,35.8155533,Y,겸용도로,0.9,0,0,0,0,2.6,2.6,3,2026-05-14
199,홍산남로R,효자동2가1241-1,127.1022596,35.8153593,효자동2가 1155-7,127.1087459,35.8155882,효자동3가1542-1,127.1114148,35.8155533,Y,겸용도로,0.9,0,0,0,0,2.8,2.8,3,2026-05-14
200,홍산로L,효자동2가1325(전북특별자치도교육청),127.1024127,35.804153,효자동3가 1800,127.1059097,35.8221926,서신동1004-1(가련교),127.1087939,35.8390858,Y,겸용도로,4.1,0,2,2.7,4.7,0,0,3,2026-05-14
201,홍산로R,효자동2가1325(전북특별자치도교육청),127.1024127,35.804153,효자동3가 1800,127.1059097,35.8221926,서신동1004-1(가련교),127.1087939,35.8390858,Y,겸용도로,4.1,0,2,2.5,4.5,0,0,3,2026-05-14
202,효자로L,효자동3가1071,127.0864841,35.8205563,효자동3가 82-5,127.1104985,35.8192167,중화산동2가579-4,127.1224637,35.8193228,Y,겸용도로,3.35,0,2.1,2.5,4.6,0,0,3,2026-05-14
203,효자로R,효자동3가1071,127.0864841,35.8205563,효자동3가 82-5,127.1104985,35.8192167,중화산동2가579-4,127.1224637,35.8193228,Y,겸용도로,3.35,0,2,2.5,4.5,0,0,3,2026-05-14
204,삼천1L,원당교,127.1219395,35.7536364,평화2동 269-2,127.1153083,35.774965,독배천합류점(중인동110-8),127.1030726,35.7756314,Y,겸용도로(하천산책로),3.7,0,0,0,0,3,3,5,2026-05-14
205,삼천1R,원당교,127.1230723,35.7530224,석구동 429,127.1176174,35.7677572,삼천교,127.1098843,35.7853908,Y,겸용도로(하천산책로),4,0,0,0,0,3,3,5,2026-05-14
206,삼천2L,삼천교,127.1098843,35.7853908,효자4동 217-4,127.1092049,35.804843,팔복동3가 1302,127.1064415,35.8317778,Y,겸용도로(하천산책로),7.7,0,0,0,0,3,3,5,2026-05-14
207,삼천2R,삼천교,127.1098843,35.7853908,효자3동 364-17,127.1120152,35.8100908,전주천합류점,127.1055385,35.8411907,Y,겸용도로(하천산책로),7,0,0,0,0,3,3,5,2026-05-14
208,전주천1L,월암교,127.1985945,35.7790361,색장동 902-2,127.1891714,35.7981417,치명자산성지주차장,127.16475,35.8054833,Y,겸용도로(하천산책로),4.89,0,0,0,0,2,2,5,2026-05-14
209,전주천2L,한벽교,127.1607394,35.8115574,덕진동2가 646-56,127.1065978,35.8421983,만경강 합류점,127.0821127,35.8914459,Y,겸용도로(하천산책로),13.81,0,0,0,0,2,2,5,2026-05-14
210,전주천2R,한벽교,127.1607394,35.8115574,덕진동2가 646-56,127.1065978,35.8421983,만경강 합류점,127.0837567,35.8911308,Y,겸용도로(하천산책로),14.1,0,0,0,0,2,2,5,2026-05-14
211,아중천1L,우아동2가 897-5,,,우아2동 687-4,,,우아동2가 703-4(우아교),,,,겸용도로(하천산책로),1.4,0,2,2.5,4.5,0,0,,2026-05-14
212,아중천1R,우아동2가 897-5,,,우아2동 687-4,,,우아동2가 703-4(우아교),,,,겸용도로(하천산책로),1.4,0,2,2.5,4.5,0,0,,2026-05-14
213,아중천2L,우아동2가 703-4(우아교),,,우아2동 238-3,,,소양천 합류부,,,,겸용도로(하천산책로),1.4,0,0,0,0,2.2,2.2,,2026-05-14
214,아중천2R,우아동2가 703-4(우아교),,,우아2동 238-3,,,소양천 합류부,,,,겸용도로(하천산책로),1.4,0,0,0,0,2.2,2.2,,2026-05-14
