id,name,sigungu,reservation_org,reservation_url,reservation_open,use_season,reservation_note
camp-31361,철원 평화마을 서울캠핑장,철원군,서울특별시,https://blog.naver.com/seoul_camp/221499418105,,,
camp-31395,화강 수변 오토캠핑장,철원군,철원군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3545&viewType=read05,,,
camp-gc-005,구곡폭포 국민여가 캠핑장,춘천시,,,,,
camp-31258,별 헤는 마을,춘천시,춘천시청,http://www.xn--oi2bl1gq7lezgmg408a.kr/,,,
camp-gc-006,청평사 국민여가 캠핑장,춘천시,,,,,
camp-31092,태백고원자연휴양림 야영장,태백시,태백시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,,,
camp-31201,꿈의대화캠핑장,평창군,평창군청,http://www.꿈의대화캠핑장.kr/contents/main.html,,,
camp-gc-007,평창 국민여가캠핑장,평창군,,,,,
camp-31377,팔봉산관광지 야영장,홍천군,홍천군청,https://www.hongcheon.go.kr/palbong/index.do,,,
camp-31393,홍천강 오토캠핑장,홍천군,홍천군청,https://www.hongcheon.go.kr/tour/contents.do?key=1884,,,
camp-31394,홍천강 자라바위 오토캠핑장,홍천군,홍천군청,https://www.hongcheon.go.kr/tour/contents.do?key=1886,,,
camp-31238,돌집야영장,화천군,화천군청,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=859&viewType=read01,,,
camp-gc-008,만산동 국민여가 캠핑장,화천군,,,,,
camp-31600,평화의댐 오토캠핑장,화천군,화천군청,http://eco-school.ihc.go.kr/hb/camp/sub01_01_01,,,
camp-31399,화천에코스쿨 생태체험장,화천군,화천군청,http://eco-school.ihc.go.kr/hb/camp/sub01_01_02,,,
camp-gc-009,솔밭체육공원오토캠핑장,횡성군,,,,,
camp-31405,횡성 별빛마을 서울캠핑장,횡성군,서울특별시청,https://blog.naver.com/seoul_camp/221498996186,,,
camp-31073,주작산자연휴양림 야영장,강진군,강진군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030060,,,
camp-31367,청자촌 오토캠핑장,강진군,강진군청,http://gjcamping.co/,,,
camp-31101,팔영산자연휴양림 야영장,고흥군,고흥군청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030069,,,
camp-gc-016,광산구 국민여가 친환경 오토캠핑장,광산구,,,,,
camp-30830,광양백운산자연휴양림 야영장,광양시,광양시청,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030061,,,
camp-gc-019,백운제 농어촌테마공원 자동차 야영장,광양시,,,,,
camp-31434,나주박물관 야외체험장,나주시,나주시청,https://naju.museum.go.kr/html/kr/,,,
